category,subcategory,tags,attribute,attribute_description,tablename,geography,region,vintage,source,vartype,last_updated,notes
key,key,"education, intervention, access, annie casey, kidscount, children, county",state_fips,"FIPS code for state",children_early_intervention_ae,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,
key,key,"education, intervention, access, annie casey, kidscount, children, county",county_fips,"FIPS code for county",children_early_intervention_ae,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,
key,key,"education, intervention, access, annie casey, kidscount, children, county",year,Year,children_early_intervention_ae,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,
education,access,"education, intervention, access, annie casey, kidscount, children, county",early_intervention_p,"Percent of children (ages 0-3) receiving early intervention services",children_early_intervention_ae,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(5,4)",2021-03-18,
key,key,"economic, disconnected youth, employment, annie casey, kidscount, children, county",state_fips,"FIPS code for state",teen_no_school_work_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,
key,key,"economic, disconnected youth, employment, annie casey, kidscount, children, county",county_fips,"FIPS code for county",teen_no_school_work_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,
key,key,"economic, disconnected youth, employment, annie casey, kidscount, children, county",year,Year,teen_no_school_work_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,
economic,employment,"economic, disconnected youth, employment, annie casey, kidscount, children, county",no_school_work_pct_t,"Percent of teens aged 16-19 not attending school and not working",teen_no_school_work_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(4,3)",2021-03-18,
key,key,"juvenile, disconnected youth, aces, justice system, annie casey, kidscount, children, county",state_fips,"FIPS code for state",juvenile_delinquency_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,
key,key,"juvenile, disconnected youth, aces, justice system, annie casey, kidscount, children, county",county_fips,"FIPS code for county",juvenile_delinquency_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,
key,key,"juvenile, disconnected youth, aces, justice system, annie casey, kidscount, children, county",year,Year,juvenile_delinquency_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,
"justice system",juvenile,"juvenile, disconnected youth, aces, justice system, annie casey, kidscount, children, county",delinquency_pk_juven,"The count per 1,000 juveniles ages 6-15 years old of delinquent complaints received by court services offices",juvenile_delinquency_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(5,2)",2021-03-18,
key,key,"economic, employment, annie casey, kidscount, children, county",state_fips,"FIPS code for state",child_parent_unemployed_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"economic, employment, annie casey, kidscount, children, county",county_fips,"FIPS code for county",child_parent_unemployed_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"economic, employment, annie casey, kidscount, children, county",year,Year,child_parent_unemployed_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
economic,employment,"economic, employment, annie casey, kidscount, children, county",no_employed_parent_p,"Percent of children with no parent in the labor force",child_parent_unemployed_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(4,3)",2021-03-18,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"economic, poverty, annie casey, kidscount, children, county",state_fips,"FIPS code for state",child_concentrated_poverty_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,
key,key,"economic, poverty, annie casey, kidscount, children, county",county_fips,"FIPS code for county",child_concentrated_poverty_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,
key,key,"economic, poverty, annie casey, kidscount, children, county",year,Year,child_concentrated_poverty_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,
key,key,"economic, poverty, annie casey, kidscount, children, county",race,"Race and/or ethnicity",child_concentrated_poverty_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",VARCHAR(20),2021-03-18,
economic,employment,"economic, poverty, annie casey, kidscount, children, county",concentrated_poverty,"Percent of children living in areas of concentrated poverty",child_concentrated_poverty_aecf,county,"North Carolina","2010 - 2018","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(4,3)",2021-03-18,
key,key,"education, intervention, access, annie casey, kidscount, children, county",state_fips,"FIPS code for state",child_early_intervention_aecf,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-18,
key,key,"education, intervention, access, annie casey, kidscount, children, county",county_fips,"FIPS code for county",child_early_intervention_aecf,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-18,
key,key,"education, intervention, access, annie casey, kidscount, children, county",year,Year,child_early_intervention_aecf,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-18,
education,access,"education, intervention, access, annie casey, kidscount, children, county",early_intervention_p,"Percent of children (ages 0-3) receiving early intervention services",child_early_intervention_aecf,county,"North Carolina","2005 - 2017","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey","DECIMAL(5,4)",2021-03-18,
key,key,"parks, environment, exercise, open space, access",state_fips,"FIPS code for state",parks,tract,"New Hanover",2020,"New Hanover County Government",CHAR(2),2021-03-18,
key,key,"parks, environment, exercise, open space, access",county_fips,"FIPS code for county",parks,tract,"New Hanover",2020,"New Hanover County Government",CHAR(3),2021-03-18,
key,key,"parks, environment, exercise, open space, access",tract_fips,"FIPS code for census tract",parks,tract,"New Hanover",2020,"New Hanover County Government",CHAR(6),2021-03-18,
environment,access,"parks, environment, exercise, open space, access",park,"Park name",parks,tract,"New Hanover",2020,"New Hanover County Government",VARCHAR(35),2021-03-18,
environment,access,"parks, environment, exercise, open space, access",park_description,"Park description",parks,tract,"New Hanover",2020,"New Hanover County Government",TEXT,2021-03-18,
environment,access,"parks, environment, exercise, open space, access",park_address,"Address of park",parks,tract,"New Hanover",2020,"New Hanover County Government",TEXT,2021-03-18,
environment,access,"parks, environment, exercise, open space, access",latitude,Latitude,parks,tract,"New Hanover",2020,"New Hanover County Government","DECIMAL(7,5)",2021-03-18,
environment,access,"parks, environment, exercise, open space, access",longitude,Longitude,parks,tract,"New Hanover",2020,"New Hanover County Government","DECIMAL(8,5)",2021-03-18,
environment,access,"parks, environment, exercise, open space, access",jurisdiction,"Government body responsible for park",parks,tract,"New Hanover",2020,"New Hanover County Government",VARCHAR(35),2021-03-18,
key,key,"education, technology, educational attainment, internet",state_fips,"FIPS code for state",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(2),2021-03-19,
key,key,"education, technology, educational attainment, internet",county_fips,"FIPS code for county",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(3),2021-03-19,
key,key,"education, technology, educational attainment, internet",tract_fips,"FIPS code for census tract",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(6),2021-03-19,
key,key,"education, technology, educational attainment, internet",year,Year,internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",SMALLINT(4),2021-03-19,
education,technology,"education, technology, educational attainment, internet",education,"Highest level of educational attainment",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",VARCHAR(10),2021-03-19,
education,technology,"education, technology, educational attainment, internet",tot_ct,"Total population",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, educational attainment, internet",hascomp_ct,"Count of population (within educational attainment subgroup) with a computer",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, educational attainment, internet",dial_up_ct,"Count of population (within educational attainment subgroup) with only a dial-up internet subscription",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, educational attainment, internet",bband_ct,"Count of population (within educational attainment subgroup) with a broadband internet subscription",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, educational attainment, internet",nonet_ct,"Count of population (within educational attainment subgroup) with a computer but without an internet subscription",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, educational attainment, internet",nocomp_ct,"Count of population (within educational attainment subgroup) without a computer",internet_education,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
key,key,"education, technology, internet, access",state_fips,"FIPS code for state",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(2),2021-03-19,
key,key,"education, technology, internet, access",county_fips,"FIPS code for county",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(3),2021-03-19,
key,key,"education, technology, internet, access",tract_fips,"FIPS code for census tract",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(6),2021-03-19,
key,key,"education, technology, internet, access",race,"Race and/or ethnicity",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",VARCHAR(20),2021-03-19,
key,key,"education, technology, internet, access",year,Year,internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",SMALLINT(4),2021-03-19,
education,technology,"education, technology, internet, access",tot_ct,"Total population (within race/ethnicity subgroup)",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, internet, access",hascomp_ct,"Count of population (within race/ethnicity subgroup)  with a computer",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, internet, access",dial_up_ct,"Count of population (within race/ethnicity subgroup)  with only a dial-up internet subscription",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, internet, access",bband_ct,"Count of population (within race/ethnicity subgroup)  with a broadband internet subscription",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, internet, access",nonet_ct,"Count of population (within race/ethnicity subgroup)  with a computer but without an internet subscription",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
education,technology,"education, technology, internet, access",nocomp_ct,"Count of population (within race/ethnicity subgroup)  without a computer",internet_access,tract,"North Carolina","2017 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
key,key,"utility burden, heating fuel, heating cost, cost burden, utility burden",state_fips,"FIPS code for state",utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(2),2021-03-19,
key,key,"utility burden, heating fuel, heating cost, cost burden, utility burden",county_fips,"FIPS code for county",utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(3),2021-03-19,
key,key,"utility burden, heating fuel, heating cost, cost burden, utility burden",tract_fips,"FIPS code for census tract",utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(6),2021-03-19,
key,key,"utility burden, heating fuel, heating cost, cost burden, utility burden",year,Year,utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",SMALLINT(4),2021-03-19,
housing,utilities,"utility burden, heating fuel, heating cost, cost burden, utility burden",utility,"Type of utility",utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables","VARCHAR (12)",2021-03-19,
housing,utilities,"utility burden, heating fuel, heating cost, cost burden, utility burden",cost,"Utility cost (within utility subgroup)",utility_cost,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",INT,2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",state_fips,"FIPS code for state",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",CHAR(2),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",county_fips,"FIPS code for county",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",CHAR(3),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",tract_fips,"FIPS code for census tract",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",CHAR(6),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",race,"Race and/or ethnicity",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",VARCHAR(20),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",gender,Gender,unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",VARCHAR(3),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",age,Age,unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",VARCHAR(8),2021-03-19,
key,key,"economic, unemployment, poverty, hnc 2030",year,Year,unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",SMALLINT(4),2021-03-19,
economic,unemployment,"economic, unemployment, poverty, hnc 2030",tot_ct,"Count of population (within given subgroups)",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables",INT,2021-03-19,
economic,unemployment,"economic, unemployment, poverty, hnc 2030",labor_force_pct,"Percent of population aged 16 and up in labor force",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables","DECIMAL(4,3)",2021-03-19,
economic,unemployment,"economic, unemployment, poverty, hnc 2030",employed_pct,"Percent of employed population aged 16 and up in the labor force",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables","DECIMAL(4,3)",2021-03-19,
economic,unemployment,"economic, unemployment, poverty, hnc 2030",unemp_pct,"Unemployment rate among population aged 16 and up in the labor force",unemployment,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Subject Tables","DECIMAL(4,3)",2021-03-19,
key,key,"social support, foster, annie casey, kidscount, children, county",state_fips,"FIPS code for state",child_foster_care_aecf,county,"North Carolina","2001 - 2019","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(2),2021-03-23,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"social support, foster, annie casey, kidscount, children, county",county_fips,"FIPS code for county",child_foster_care_aecf,county,"North Carolina","2001 - 2019","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",CHAR(3),2021-03-23,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"social support, foster, annie casey, kidscount, children, county",year,Year,child_foster_care_aecf,county,"North Carolina","2001 - 2019","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT(4),2021-03-23,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
"social support","foster care","social support, foster, annie casey, kidscount, children, county",child_foster_care_ct,"The number of children ages 0-17 placed in foster care during the state fiscal year (July to June)",child_foster_care_aecf,county,"North Carolina","2001 - 2019","kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey",SMALLINT,2021-03-23,"kidscount.org; Annie Casey Foundation; Census Bureau American Community Survey"
key,key,"economic, income, household, poverty",state_fips,"FIPS code for state",household_income,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(2),2021-03-23,
key,key,"economic, income, household, poverty",county_fips,"FIPS code for county",household_income,tract,"North Carolina","2010 - 2019","Census Bureau American Community Survey 5-Year Detail Tables",CHAR(3),2021-03-23,
